station,known_group,date,temp_c,precip_mm
Bangkok,Tropical,2012-04-01,31.02,42.9
Bangkok,Tropical,2012-05-01,29.94,139.19
Bangkok,Tropical,2012-06-01,28.83,119.1
Bangkok,Tropical,2012-07-01,27.77,201.81
Bangkok,Tropical,2012-08-01,27.5,158.41
Bangkok,Tropical,2012-09-01,26.58,407.1
Bangkok,Tropical,2012-10-01,27.3,135.47
Bangkok,Tropical,2012-11-01,27.07,104.1
Bangkok,Tropical,2012-12-01,26.45,9.3
Bangkok,Tropical,2013-01-01,26.39,28.21
Bangkok,Tropical,2013-02-01,29.3,5.04
Bangkok,Tropical,2013-03-01,31.46,22.94
Bangkok,Tropical,2013-04-01,31.11,46.2
Bangkok,Tropical,2013-05-01,30.76,82.46
Bangkok,Tropical,2013-06-01,28.32,242.4
Bangkok,Tropical,2013-07-01,27.33,152.83
Bangkok,Tropical,2013-08-01,27.57,175.15
Bangkok,Tropical,2013-09-01,27.05,318.3
Bangkok,Tropical,2013-10-01,26.8,257.92
Bangkok,Tropical,2013-11-01,26.0,73.2
Bangkok,Tropical,2013-12-01,21.68,1.86
Bangkok,Tropical,2014-01-01,23.42,0.0
Bangkok,Tropical,2014-02-01,28.16,2.8
Bangkok,Tropical,2014-03-01,30.44,17.98
Bangkok,Tropical,2014-04-01,30.99,57.6
Bangkok,Tropical,2014-05-01,31.05,97.96
Bangkok,Tropical,2014-06-01,29.67,111.9
Bangkok,Tropical,2014-07-01,28.97,113.15
Bangkok,Tropical,2014-08-01,28.26,197.16
Bangkok,Tropical,2014-09-01,27.65,225.6
Bangkok,Tropical,2014-10-01,27.15,175.46
Bangkok,Tropical,2014-11-01,26.94,58.5
Bangkok,Tropical,2014-12-01,25.18,11.47
Bangkok,Tropical,2015-01-01,25.36,6.2
Bangkok,Tropical,2015-02-01,28.44,12.6
Bangkok,Tropical,2015-03-01,30.11,92.38
Bangkok,Tropical,2015-04-01,30.1,70.2
Bangkok,Tropical,2015-05-01,30.58,43.4
Bangkok,Tropical,2015-06-01,29.73,152.4
Bangkok,Tropical,2015-07-01,29.25,108.5
